#Title	Digilent WaveForms Network Analyzer Data
#Device Name	DEMO Discovery
#Serial Number	DEMO Discovery
#Software Version	2.4.4
Frequency (Hz)	Channel 1 (gain)	Channel 2 (gain)	Channel 2 (deg)
50000	1.005198	0.293903	-10.543505
50533.7220049892	1.006253	0.283339	-13.016813
51073.1411935506	1.006516	0.292286	-11.390227
51618.318379929	1.006494	0.285872	-11.812181
52169.3150275272	1.006215	0.256106	-11.334964
52726.1932558353	1.006423	0.281918	-13.469783
53289.0158474343	1.006922	0.275746	-9.975132
53857.8462550743	1.005786	0.275356	-11.850788
54432.7486088274	1.006437	0.268276	-11.569799
55013.787723319	1.005741	0.280114	-13.340439
55601.0291050338	1.007016	0.286484	-10.884031
56194.5389597019	1.007494	0.275706	-14.011223
56794.3841997622	1.007583	0.276466	-13.039935
57400.6324519067	1.008015	0.279472	-13.024968
58013.3520647043	1.007880	0.280548	-12.442719
58632.6121163067	1.006648	0.276531	-12.041699
59258.4824222361	1.008352	0.259083	-15.358262
59891.0335432564	1.009007	0.286862	-12.908243
60530.3367933281	1.007950	0.282106	-12.166591
61176.4642476482	1.006343	0.271156	-12.084860
61829.4887507764	1.007927	0.269334	-12.253325
62489.4839248468	1.009261	0.287078	-12.194522
63156.524177869	1.007504	0.273794	-15.297350
63830.6847121162	1.008873	0.271229	-15.107017
64512.041532604	1.008269	0.274266	-13.653438
65200.6714556585	1.007874	0.267921	-15.117404
65896.6521175777	1.006524	0.272327	-16.565248
66600.0619833831	1.007064	0.277298	-13.471529
67310.9803556667	1.006516	0.283597	-13.149741
68029.487383531	1.008303	0.282268	-9.913299
68755.6640716255	1.007884	0.276795	-15.661808
69489.592289279	1.008850	0.270180	-14.371348
70231.3547797293	1.008171	0.266514	-15.310917
70981.0351694522	1.008818	0.280604	-14.815835
71738.7179775893	1.009345	0.278548	-17.584542
72504.4886254763	1.008256	0.276870	-16.511382
73278.4334462745	1.009798	0.287408	-15.488454
74060.6396947028	1.010612	0.279879	-15.156270
74851.1955568756	1.009727	0.269367	-14.412896
75650.1901602447	1.009577	0.270591	-13.499673
76457.7135836476	1.009204	0.269797	-12.667798
77273.8568674626	1.009086	0.268386	-12.764313
78098.7120238737	1.008645	0.276015	-14.772000
78932.3720472429	1.007223	0.265899	-16.835297
79774.930924595	1.007969	0.275507	-13.978764
80626.4836462141	1.008846	0.274909	-16.871656
81487.1262163518	1.010801	0.261625	-17.053566
82356.9556640519	1.009171	0.260388	-16.957502
83236.0700540884	1.008426	0.265425	-17.306017
84124.5684980222	1.009153	0.270002	-17.323076
85022.5511653745	1.008732	0.271111	-13.872523
85930.1192949202	1.009649	0.262734	-15.001263
86847.3752061011	1.010458	0.274115	-18.048282
87774.4223105622	1.008830	0.272204	-17.472155
88711.3651238094	1.010478	0.272829	-17.657443
89658.3092769936	1.009058	0.270907	-17.054282
90615.3615288189	1.009474	0.266828	-15.918050
91582.6297775785	1.009252	0.261878	-16.731613
92560.2230733201	1.008902	0.257644	-18.509237
93548.2516301388	1.011034	0.275771	-17.403241
94546.8268386044	1.009819	0.262978	-17.362384
95556.0612783177	1.010702	0.265932	-15.805639
96576.0687306044	1.011970	0.267486	-16.352287
97606.9641913419	1.011589	0.271324	-18.723588
98648.8638839242	1.012273	0.259681	-18.322044
99701.8852723649	1.009891	0.261221	-17.133373
100766.14707454	1.009661	0.278664	-16.517301
101841.769275574	1.011525	0.264534	-17.794525
102928.873141362	1.009783	0.260961	-16.805685
104027.581232248	1.009336	0.256285	-17.850622
105138.017416837	1.010292	0.257803	-18.954498
106260.306885963	1.010259	0.271081	-15.454388
107394.576166802	1.010607	0.258104	-19.015028
108540.953137136	1.011503	0.257549	-15.369501
109699.567039772	1.011299	0.273169	-20.740369
110870.54849711	1.012094	0.253622	-20.316613
112054.029525873	1.010770	0.263571	-20.275055
113250.143551986	1.011617	0.270023	-17.323753
114459.025425624	1.010514	0.257386	-17.755341
115680.811436409	1.010452	0.263144	-19.529985
116915.639328782	1.011722	0.256029	-18.568400
118163.648317525	1.012391	0.257888	-20.560052
119424.979103462	1.011265	0.262879	-18.932535
120699.77388932	1.014203	0.260230	-20.109095
121988.176395759	1.012328	0.261907	-19.861500
123290.331877578	1.011646	0.273486	-20.030747
124606.387140087	1.011985	0.267798	-21.744866
125936.490555665	1.011245	0.264466	-18.992601
127280.792080478	1.010462	0.266724	-20.117564
128639.443271395	1.009889	0.265005	-19.360547
130012.597303064	1.010979	0.257125	-20.673636
131400.408985193	1.010357	0.259169	-20.797422
132803.034779993	1.010944	0.261167	-22.995996
134220.632819822	1.012907	0.254336	-21.013571
135653.362925012	1.011461	0.260268	-20.017225
137101.386621889	1.011386	0.259528	-20.481944
138564.867160982	1.010756	0.271823	-21.530879
140043.969535427	1.010573	0.264938	-23.107675
141538.860499569	1.010774	0.261304	-21.938082
143049.708587763	1.010995	0.256749	-21.583392
144576.684133375	1.011606	0.274829	-23.287744
